Fuel Calculation Table
*********************************************************
ITEM		MASS		FUEL		SUBTOTAL
*********************************************************
1		99711		33235		33235
2		136867		45620		78855
3		97107		32367		111222
4		108257		36083		147305
5		57509		19167		166472
6		129721		43238		209710
7		139889		46627		256337
8		91988		30660		286997
9		54465		18153		305150
10		129229		43074		348224
11		59122		19705		367929
12		97391		32461		400390
13		57509		19167		419557
14		70687		23560		443117
15		72733		24242		467359
16		137687		45893		513252
17		123889		41294		554546
18		53484		17826		572372
19		71869		23954		596326
20		144816		48270		644596
21		83856		27950		672546
22		131570		43854		716400
23		68905		22966		739366
24		66648		22214		761580
25		124392		41462		803042
26		59964		19986		823028
27		80553		26849		849877
28		93881		31291		881168
29		56253		18749		899917
30		76282		25425		925342
31		127377		42457		967799
32		110425		36806		1004605
33		59914		19969		1024574
34		76294		25429		1050003
35		81888		27294		1077297
36		88986		29660		1106957
37		132544		44179		1151136
38		70423		23472		1174608
39		124018		41337		1215945
40		122121		40705		1256650
41		53231		17741		1274391
42		148042		49345		1323736
43		108810		36268		1360004
44		75092		25028		1385032
45		60185		20059		1405091
46		94065		31353		1436444
47		130221		43405		1479849
48		121319		40437		1520286
49		87502		29165		1549451
50		90029		30007		1579458
51		86186		28726		1608184
52		113956		37983		1646167
53		143744		47912		1694079
54		133441		44478		1738557
55		142914		47636		1786193
56		112218		37404		1823597
57		66629		22207		1845804
58		144965		48319		1894123
59		135476		45156		1939279
60		111537		37177		1976456
61		51709		17234		1993690
62		125198		41730		2035420
63		72098		24030		2059450
64		79625		26539		2085989
65		105068		35020		2121009
66		119597		39863		2160872
67		71611		23868		2184740
68		122186		40726		2225466
69		95752		31915		2257381
70		51967		17320		2274701
71		117725		39239		2313940
72		52696		17563		2331503
73		100411		33468		2364971
74		70222		23405		2388376
75		66330		22108		2410484
76		119579		39857		2450341
77		116075		38689		2489030
78		91228		30407		2519437
79		68982		22992		2542429
80		114698		38230		2580659
81		125333		41775		2622434
82		139219		46404		2668838
83		148789		49594		2718432
84		101768		33920		2752352
85		97593		32529		2784881
86		100820		33604		2818485
87		75959		25317		2843802
88		128572		42855		2886657
89		99469		33154		2919811
90		102120		34038		2953849
91		76462		25485		2979334
92		128313		42769		3022103
93		123442		41145		3063248
94		83860		27951		3091199
95		76163		25385		3116584
96		142707		47567		3164151
97		66275		22089		3186240
98		70837		23610		3209850
99		137203		45732		3255582
100		71123		23705		3279287

Total fuel is 3279287
